"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AT2G20760",0.000586464194066503,0.313164894741392,0.3,0.084,1,"8","AT2G20760"
"AT2G42880",0.000641583181780433,0.337509864430108,0.25,0.063,1,"8","AT2G42880"
"AT3G25220",0.000666054323491235,0.341021497095069,0.25,0.062,1,"8","AT3G25220"
"AT4G25080",0.000682649673081351,0.258717110719015,0.3,0.083,1,"8","AT4G25080"
"AT1G017301",0.00075976054936932,0.488000770834068,0.45,0.172,1,"8","AT1G01730"
"AT5G56750",0.000780717906767055,0.25527255267786,0.3,0.084,1,"8","AT5G56750"
"AT3G46060",0.000792639266821328,0.254126191838133,0.3,0.084,1,"8","AT3G46060"
"AT4G11150",0.000804463938864384,0.333604647267455,0.4,0.138,1,"8","AT4G11150"
"AT1G19570",0.000882353588836297,0.369546115120102,0.4,0.142,1,"8","AT1G19570"
"AT1G14670",0.000940504556756631,0.254126191838133,0.3,0.086,1,"8","AT1G14670"
"AT1G05850",0.0010236768881337,0.284064532126737,0.4,0.137,1,"8","AT1G05850"
"AT1G674302",0.00113776661771643,0.387503621045708,0.55,0.24,1,"8","AT1G67430"
"AT5G140401",0.00123997348282157,0.299435734438717,0.3,0.09,1,"8","AT5G14040"
"AT1G232902",0.00131632313958584,0.28080910756177,0.4,0.14,1,"8","AT1G23290"
"AT2G21520",0.00133645122436492,0.299435734438717,0.3,0.091,1,"8","AT2G21520"
"AT1G500102",0.00136625225920306,0.41212590385894,0.5,0.198,1,"8","AT1G50010"
"AT1G26110",0.00139838625792458,0.270129983769272,0.35,0.115,1,"8","AT1G26110"
"AT1G561701",0.00151941904600913,0.270258732601706,0.25,0.068,1,"8","AT1G56170"
"AT1G535002",0.00156852316214784,0.404390255079335,0.35,0.122,1,"8","AT1G53500"
"AT3G525903",0.00159419433408851,0.486099569099377,0.6,0.299,1,"8","AT3G52590"
"AT5G567102",0.00159440260330441,0.307750591281516,0.55,0.229,1,"8","AT5G56710"
"AT2G400601",0.00164447254545643,0.362034855842717,0.4,0.152,1,"8","AT2G40060"
"AT5G533001",0.00174527602432083,0.421296489750526,0.7,0.381,1,"8","AT5G53300"
"AT5G587101",0.00174534733829624,0.257908389348449,0.35,0.116,1,"8","AT5G58710"
"AT3G198201",0.00180563784824809,0.362034855842717,0.4,0.153,1,"8","AT3G19820"
"AT5G200101",0.00181829607020353,0.477465541467559,0.75,0.45,1,"8","AT5G20010"
"AT3G616402",0.0019072379633527,0.262784610137405,0.5,0.197,1,"8","AT3G61640"
"AT3G616001",0.00198009151617392,0.272578178504665,0.25,0.07,1,"8","AT3G61600"
"AT1G027803",0.00225040943445075,0.417559789909569,0.6,0.307,1,"8","AT1G02780"
"AT1G05190",0.00229880328373864,0.294888228574567,0.3,0.097,1,"8","AT1G05190"
"AT1G105901",0.00231579903529617,0.271977964220027,0.45,0.176,1,"8","AT1G10590"
"AT5G152003",0.00238937873541157,0.444333047463413,0.75,0.395,1,"8","AT5G15200"
"AT3G46430",0.0023919899644777,0.271417989426547,0.25,0.072,1,"8","AT3G46430"
"AT5G566701",0.00241003236204121,0.311089767311735,0.5,0.21,1,"8","AT5G56670"
"AT5G051701",0.00245588194800078,0.453005349477864,0.4,0.153,1,"8","AT5G05170"
"AT3G184901",0.0025466874211184,0.330803033566056,0.65,0.314,1,"8","AT3G18490"
"AT2G43970",0.00255014876378377,0.264641268863344,0.4,0.148,1,"8","AT2G43970"
"AT3G11700",0.00279720804801754,0.272578178504665,0.25,0.074,1,"8","AT3G11700"
"AT2G07727",0.00280835005477891,0.317770469413706,0.45,0.186,1,"8","AT2G07727"
"AT3G595401",0.00291424805865508,0.265750493942377,0.45,0.178,1,"8","AT3G59540"
"AT5G11770",0.00334968380113958,0.306718012968633,0.4,0.158,1,"8","AT5G11770"
"AT3G53990",0.00345944799580408,0.301400295776238,0.4,0.158,1,"8","AT3G53990"
"AT2G211601",0.00365231133920343,0.285835994697889,0.3,0.102,1,"8","AT2G21160"
"AT1G52740",0.00367233516887107,0.394305975872214,0.5,0.234,1,"8","AT1G52740"
"AT3G048402",0.0037530032990856,0.288416556666444,0.35,0.129,1,"8","AT3G04840"
"AT4G018501",0.0037731423581676,0.337034987277571,0.5,0.228,1,"8","AT4G01850"
"AT1G331402",0.00398362953876717,0.278642898384688,0.35,0.128,1,"8","AT1G33140"
"AT5G050101",0.00404685712778025,0.38388058563012,0.4,0.172,1,"8","AT5G05010"
"AT2G356301",0.00453477970569447,0.328187085359045,0.3,0.107,1,"8","AT2G35630"
"AT5G395701",0.00463572758253438,0.341842109418516,0.4,0.163,1,"8","AT5G39570"
"AT3G067003",0.0046941393880372,0.352899834884333,0.45,0.196,1,"8","AT3G06700"
"AT1G040471",0.00470566683425015,0.457217197571855,0.3,0.11,1,"8","AT1G04047"
"AT1G078901",0.00486708368671585,0.468881013118192,0.9,0.679,1,"8","AT1G07890"
"AT1G128452",0.00495008675783645,0.308850600261445,0.35,0.134,1,"8","AT1G12845"
"AT4G29350",0.00514433031129122,0.335777381173436,0.35,0.139,1,"8","AT4G29350"
"AT5G03040",0.00517873842397219,0.345011708000404,0.4,0.173,1,"8","AT5G03040"
"AT1G025001",0.00586464229509483,0.394305975872214,0.45,0.22,1,"8","AT1G02500"
"AT3G560901",0.00600211277461119,0.310090324915762,0.45,0.2,1,"8","AT3G56090"
"AT3G42050",0.00662434388496254,0.275719665464909,0.3,0.11,1,"8","AT3G42050"
"AT5G43830",0.00700587544543915,0.261018060235289,0.25,0.083,1,"8","AT5G43830"
"AT1G66500",0.00718806269111938,0.649741860269971,0.5,0.263,1,"8","AT1G66500"
"AT5G627002",0.00746183158258089,0.282353696301931,0.55,0.268,1,"8","AT5G62700"
"AT1G185401",0.0075103444517158,0.319253960589037,0.3,0.111,1,"8","AT1G18540"
"AT4G17530",0.00777218343963418,0.278468345742537,0.5,0.233,1,"8","AT4G17530"
"AT3G085301",0.00804237938310028,0.317497361028435,0.7,0.402,1,"8","AT3G08530"
"AT4G34050",0.00849717803898659,0.25183619922893,0.25,0.085,1,"8","AT4G34050"
"AT2G426001",0.00907907365121485,0.278642898384688,0.35,0.145,1,"8","AT2G42600"
"AT1G09770",0.0091996483359457,0.310375809242584,0.3,0.117,1,"8","AT1G09770"
"AT2G365301",0.00927057540217396,0.273241562832201,0.35,0.144,1,"8","AT2G36530"
"AT3G02090",0.00962411759085538,0.26790016100561,0.3,0.115,1,"8","AT3G02090"
